Media_type,isolate_ID,Replicates,Protocol,Absor_260/280,Absor_260/230,Nano_1ng/ul,Quatus_2ng/ul
ME,TX1-2,1,3,11.41,2.88,162.3,0.218
PD,TX1-2,2,3,6.49,13.79,229.6,0.161
PD,CAN2,1,3,3.49,13.05,196,1.69
PD,CAN2,2,3,12.05,20.26,198.5,1.86
PD,BS9_240_002N_4,1,3,10.89,7.63,193.6,0.688
PD,BS9_240_002N_4,2,3,9.5,27.65,199.6,1.63
PD,BS 9 C 040N-2,1,3,10.69,6.94,184.1,0.306
PD,BS 9 C 040N-2,2,3,3.61,3.63,147.3,0.76
PD,BS11C 643 S-6,1,3,4.81,-75.93,244.5,5.1
PD,BS11C 643 S-6,2,3,6.97,41.88,217.8,2.63
PD,BS11 240 698 S-6,1,3,1.71,0.43,174.7,0.169
SD,BS11 240 698 S-6,2,3,1.52,1.01,209.7,0.139
SD,TX1-2,1,3,2.32,8.48,453.4,38
SD,TX1-2,2,3,2.28,12.11,461.5,42
SD,TX1-2,3,3,2.52,7.03,222.7,21
SD,CAN2,1,3,4.23,12.18,311.4,20
SD,CAN2,2,3,7.5,59.05,220.1,6.7
SD,CAN2,3,3,2.92,20.95,452.4,29
SD,BS9_240_002N_4,1,3,2.88,11.61,449.1,65
SD,BS9_240_002N_4,2,3,2.66,16.09,527.5,79
SD,BS9_240_002N_4,3,3,2.33,12.32,558.3,63
SD,BS 9 C 040N-2,1,3,1.87,6.06,448.3,35
SD,BS 9 C 040N-2,2,3,2.47,8.14,304.1,12
SD,BS 9 C 040N-2,3,3,2.56,7.4,356.9,42
SD,BS11C 643 S-6,1,3,3.69,9.06,320.7,19
SD,BS11C 643 S-6,2,3,4.67,4.04,176.1,10
YEPD,BS11C 643 S-6,3,3,3.38,-47.68,356.1,28
YEPD,BS11 240 698 S-6,1,3,1.96,1.56,325.3,51
YEPD,BS11 240 698 S-6,2,3,2.01,1.77,450.1,68
YEPD,BS11 240 698 S-6,3,3,1.96,1.62,335,37
YEPD,TX1-2,1,3,1.39,0.67,76.3,0.333
YEPD,TX1-2,2,3,1.4,0.61,45.8,0.181
YEPD,TX1-2,3,3,1.42,0.54,61,0.136
YEPD,CAN2,1,3,6.05,8.3,232.8,5
YEPD,CAN2,2,3,5.49,18.02,249.8,12
YEPD,CAN2,3,3,3.64,12.39,331.1,19
YEPD,BS9_240_002N_4,1,3,2.77,4.56,463,39
YEPD,BS9_240_002N_4,2,3,3.38,19.88,285.9,14
YEPD,BS9_240_002N_4,3,3,2.92,12.11,303.2,9.9
YEPD,BS 9 C 040N-2,1,3,2.27,12.13,452.4,37
YEPD,BS 9 C 040N-2,2,3,2.36,0.21,817.1,70
YEPD,BS 9 C 040N-2,3,3,2.44,18.47,452.7,45
YEPD,BS11C 643 S-6,1,3,2.57,0.18,724.1,56
YEPD,BS11C 643 S-6,2,3,2.43,21.46,525.7,39
YEPD,BS11C 643 S-6,3,3,2.46,13.18,508.5,40
YEPD,BS11 240 698 S-6,1,3,2.27,3.9,423.1,50
YEPD,BS11 240 698 S-6,2,3,2.07,6.13,377.3,17
YEPD,BS11 240 698 S-6,3,3,1.85,1.26,131.4,8.8
ME,TX1-2,1,4,1.7,0.43,80.8,7.9
ME,TX1-2,2,4,1.79,0.46,53.1,4.09
ME,TX1-2,3,4,1.76,0.47,87.2,8.8
ME,CAN2,1,4,2.15,1.92,169.4,31
ME,CAN2,2,4,2.12,1.85,1028.6,109
ME,CAN2,3,4,2.12,1.56,455.8,83
ME,BS9_240_002N_4,1,4,1.82,0.87,304.1,43
ME,BS9_240_002N_4,2,4,1.97,0.99,244,46
ME,BS9_240_002N_4,3,4,2.06,1.4,298.3,42
ME,BS 9 C 040N-2,1,4,1.75,0.48,210.4,29
ME,BS 9 C 040N-2,2,4,1.73,0.52,150.3,26
ME,BS 9 C 040N-2,3,4,1.86,0.59,174.5,26
ME,BS11C 643 S-6,1,4,1.59,0.57,45.3,1.92
ME,BS11C 643 S-6,2,4,1.71,0.96,35.6,5.4
ME,BS11C 643 S-6,3,4,1.57,0.54,59.7,2.4
ME,BS11 240 698 S-6,1,4,1.59,0.35,71.1,0.287
ME,BS11 240 698 S-6,2,4,1.58,0.34,66.4,0.398
ME,BS11 240 698 S-6,3,4,1.59,0.35,90.1,0.22
PD,TX1-2,1,4,1.87,0.34,11.2,0.807
PD,TX1-2,2,4,1.51,0.67,61.3,0.931
PD,CAN2,1,4,1.71,0.46,34.8,2.15
PD,CAN2,2,4,2.26,0.4,18.7,1.38
PD,BS9_240_002N_4,1,4,2.4,1.23,35.9,5.8
PD,BS9_240_002N_4,2,4,1.9,0.56,10.1,0.742
